ï»¿Event Name,Event Date and Time,Event Type Name,Location,Start Date,Registration begins on,Registration ends on,Description,Employer Name,student_id
PM 101 - Breaking into Product Management,"04/06/2021, 12:00PM EDT - 1:15PM EDT",External Event,https://us04web.zoom.us/j/4121429541?pwd=bU80MUdYODFqd1dDSytMeHUwNDNjUT09,"04/06/2021, 12:00PM EDT","04/01/2021, 2:45PM EDT","04/06/2021, 1:15PM EDT",The purpose of the panel is to give graduate students insights into a career as a product manager. These experienced PMs will provide guidance to students in their early careers about interview prep and niche skillsets to grow in product management functions.,,"['fd8837' 'qg7260' 'gd9560' 'jl7308' 'jp9032' 'cb9723' 'gr3336' 'gr3336'
 'mr1611' 'to1788' 'ga1870' 'df8875' 'ag5106' 'ag1400' 'nk8522' 'yw2349'
 'ls2403' 'ml1155' 'pc1990' 'kf4649' 'ai2657' 'bp1358' 'aw3988' 'ko4589'
 'ds8894' 'gd9560' 'fy1621' 'ht6224' 'et8328' 'ab5741' 'hb5603' 'cr9771'
 'gp6391' 'hf4514' 'td3127' 'nl6747' 'cb1819' 'ss1349' 'kr5967' 'fs8890'
 'ps4191' 'yb1853' 'is9134' 'da8685' 'jb7330' 'cl2862' 'cw7157' 'gp5430'
 'mt8122' 'jc1829' 'mn6859' 'am4375' 'rt6370' 'gb2395' 'ck5767' 'cr9043'
 'gh2002' 'dg1539' 'tf1475' 'tk2172' 'mg9525']"
Manulife Virtual International Career Trek,"03/30/2021, 9:00PM EDT - 10:00PM EDT",External Event,Virtual,"03/30/2021, 9:00PM EDT","03/19/2021, 9:45AM EDT","03/29/2021, 9:45AM EDT","Manulife Financial Corporation is a Canadian multinational insurance company and financial services provider headquartered in Toronto, Ontario. The company operates in Canada and Asia as ""Manulife"" and in the United States primarily through its John Hancock Financial division.Come learn aboutÂ Manulifeâs 18-month LEAD Graduate Program in this session and alsoÂ gain insight aboutÂ Manulife's culture plusÂ theÂ types of candidatesÂ that they look for.Please register on or before March 28, 2021 with your CV toÂ LEADGradProgram@Manulife.comSuccessful applications will receive notification and event link via email by March 29, 2021.To apply for theÂ Management Associate - Asia LEAD Program, click here:Â https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Hong-Kong/Management-Associate---Asia-LEAD-Program_JobReq0390818Â ",Manulife Financial Corporation,"['ec3940' 'sn9209' 'tb7316' 'tv4803' 'cg8799' 'jw6434' 'sk4986' 'gs1094'
 'gy5113' 'gw7339' 'sd5478' 'lh5798' 'ac7306' 'te9890' 'pk5663' 'bl1780'
 'bw9085' 'nm3403' 'fg8413' 'lk5655']"
HBCU Fellowship: Offer Negotiation Workshop,"03/30/2021, 12:00PM EDT - 1:00PM EDT",Other,Virtual,"03/30/2021, 12:00PM EDT","01/10/2021, 2:30PM EST","03/30/2021, 12:00PM EDT","Dear Fellows:The Career Design Lab will be hosting an Offer Negotiation Workshop with Seve Spruill, Director of Talent Outreach at CHUBB. This workshop is designed to help you negotiate for a new job, raise, or promotion.Attend this workshop to gain confidence in your negotiation style through facilitated discussion and learn:â¢ About the wage gap, including its long-term consequencesâ¢ How to identify and articulate your personal valueâ¢ How to conduct objective market research to benchmark a target salary and benefitsâ¢ Strategies for making the ask including deflection, building your pitch, and responding persuasively",,"['mc5672' 'ac4719' 'mr1611' 'ak9658' 'ds9935' 'gg3797' 'ch5434' 'pc9978'
 'hk5571' 'am4999' 'ib3297' 'rb9189' 'sh8103' 'mr1611' 'sd2788' 'bj3248'
 'mr9226' 'gl1743' 'pj7325' 'ap1548' 'pp3044' 'dm3113' 'dc5451' 'rm4797'
 'ps4191' 'gp8468' 'iw5189' 'jw9666' 'ac1921' 'gw6389' 'ts1054' 'rn3959'
 'er8171' 'pb3504' 'ae4257' 'ss2982' 'md5427' 'cs5828' 'dl4841' 'vh2782'
 'od2175' 'lk6589' 'nw7519' 'rf2250' 'jd1474' 'gm6772' 'km5484' 'ha7223'
 'dg1539' 'ls2403' 'jc6043' 'gr2632' 'mg7827' 'im9432' 'lt4306' 'tb7316'
 'pp3044' 'as8601' 'jd5455' 'kf8610' 'ed5144' 'nk9060' 'aw8991' 'aa1593'
 'dk6521' 'ks9217' 'gb8369' 'rj4734' 'rf7418' 'bf5294' 'gc4626' 'db1643'
 'lf4312' 'am2199' 'sb1247' 'lc4648' 'sm2208' 'dg9792' 'jp3970' 'bw7350'
 'cs5828' 'rp4416' 'ro1106' 'rd6233' 'lc6987' 'gl1533' 'vk8598' 'kg3382'
 'kh4056' 'la3564' 'ah7718' 'eb2909' 'dw2733' 'ro1106' 'sl7343' 'bp1358'
 'bb6137' 'am4999' 'km8550' 'ed5144' 'cc7380' 'mg9306' 'eh8783' 'pb3504'
 'wm7209' 'mg6885' 'js6273' 'ws8795' 'wm9692' 'cr4093' 'wm9692' 'av7899'
 'mm2753' 'ko6847' 'ch9182' 'js2989' 'tb7316' 'cf7034' 'sr6318' 'tr1422'
 'ne8282' 'aw3988' 'ac9121' 'lc8728' 'al8834' 'co5241' 'gw7339' 'mf5938'
 'sb1247' 'ah4143' 'ef3540' 'sn9651' 'rm4797' 'mw9706' 'wd1262' 'db2113'
 'al1945' 'rc6571' 'nl4174' 'wk2855' 'mg9525' 'ja4200' 'mm7421' 'kb7087'
 'vr7075' 'ld6139' 'mh8543' 'mg9525' 'ei9254' 'ma3002' 'mg6885' 'bm5638'
 'jk7773']"
UniCareer- Strategies for Finding a Summer Internship & Securing a Return Offer from Your Internship,"03/25/2021, 10:00PM EDT - 11:30PM EDT",Professional Development Workshop & Program,http://unicareermkt.mikecrm.com/4qdENpR,"03/25/2021, 10:00PM EDT","03/18/2021, 4:30PM EDT","03/25/2021, 11:30PM EDT","We're excited to once again partner with UniCareer, an education technology platform targeting career development and job-search strategies dedicated to international students. UniCareer hosted a series of events including Boost your Career Bootcamp featuring different career tracks including Integrated Marketing, Finance, and Information System/Data, etc. This workshop features a variety of important topics including resume editing tips, internship search strategies, differentiated resources, interview prep guidance, and etc. Hope you can join the event!Â ThroughÂ theÂ workshop,Â youÂ willÂ know:1.Â DifferencesÂ inÂ summerÂ recruitingÂ timelineÂ forÂ keyÂ sectorsÂ 2.Â BestÂ strategiesÂ inÂ findingÂ aÂ qualityÂ summerÂ internshipÂ 3.Â InsiderÂ tipsÂ forÂ onlineÂ application/OnlineÂ test/interviewÂ 4.Â WaysÂ ofÂ securingÂ aÂ full-timeÂ offerÂ fromÂ summerÂ internship",,"['st1768' 'pr8327' 'ls1125' 'nb7661' 'fy1621' 'lw7546' 'cl2862' 'rp3484'
 'vl3100' 'dv5870' 'tg5136' 'ph6551' 'es2810' 'pd4505' 'br1353' 'ds8894'
 'wc8347' 'lc9120' 'kb3309' 'bs7868' 'ms9839' 'ad4252' 'mt2524' 'al8121'
 'ta2546' 'tp3038' 'ks6400' 'ag1400' 'tn6541' 'cb8371' 'wv3801' 'hm4225'
 'ht1897' 'to9401' 'ei9254' 'aa9285' 'ig2465' 'wb4981' 'kb9300' 'rc5889'
 'rp9496' 'pr9969' 'wc5369' 'hm8492' 'pv6010' 'md7856' 'gd9560' 'gr2632'
 'js2989' 'vj3465' 'hf9126' 'pp9107' 'eb6907' 'ab7734' 'fb1456' 'ns6537'
 'ts4222' 'hf9126' 'mm9402' 'km9311' 'cl4062' 'tk8377' 'kp6119' 'gm6493'
 'fg7839' 'kb8719' 'pb5265' 'th7206' 'wl9210' 'td3781' 'sm1218' 'lc8728'
 'ed9006' 'gb3398' 'nd3756' 'cj7971' 'ep3653' 'mc5672' 'td3127' 'fb1277'
 'gc4626' 'am4999' 'bw9557' 'to1788' 'sf6359' 'pk5663' 'ls2770' 'aa1207'
 'pp9107' 'lh5798' 'cb9723' 'ph4904' 'ac8242' 'am4375' 'ia1498' 'yb1853'
 'pv1617' 'ld9538' 'pd6560' 'jk7773' 'vd7931' 'lk5655' 'rs4218' 'jb7330'
 'am8493' 'kf4345' 'bb5081' 'vp8113' 'mk5958' 'dp1899' 'ee9788' 'aw8991'
 'cn7550' 'mc5672' 'cc5305' 'dv9880' 'ts7624' 'pv1617' 'so4897' 'pk5663'
 'kp6971' 'ed9006' 'bp1358' 'ms1694' 'lh1320' 'zm8614' 'jw7283' 'rh5818'
 'al9719' 'jp5929' 'ed9006' 'tk8377' 'as6854' 'cf2053' 'bg7620' 'mt4757'
 'yr2844' 'cd2265' 'mr9089' 'ft9400' 'dm5594' 'rb5485' 'jk7067' 'mr9089'
 'lf8323' 'bb6061']"
Infosys Consulting Spring 2021 Coffee Chats - OPEN OFFICE HOURS,"03/24/2021, 11:00AM EDT - 1:00PM EDT",Employer Information Session,Virtual,"03/24/2021, 11:00AM EDT","03/16/2021, 11:00AM EDT","03/24/2021, 1:00PM EDT",,Infosys,"['pg2386' 'lt9141' 'bm9901' 'am3935' 'tc8127' 'ss2982' 'cr9771' 'kn1273'
 'jm9051' 'ct1087' 'ms1308' 'hf4514' 'ts4222' 'he5574' 'gw7339' 'bh3503'
 'ga2856' 'cs4092' 'tm7389' 'cf4687' 'dc7815' 'cb5772' 'ms1308' 'hm4038'
 'sk4986' 'cm7140' 'ks8354' 'pc1990' 'pb3504' 'nd6162' 'wp8855' 'bh6361'
 'as7799' 'av7272' 'aa1593' 'rk8209' 'cm4080' 'td6442' 'dk4415' 'jl7308'
 'fm9802' 'ch4255' 'ps1086' 'ng7082' 'je2896' 'po3021' 'cb5675' 'wp8855'
 'rh8074' 'lk8463' 'md7856' 'pg1451' 'he2771' 'at7636' 'ce6477' 'rl4633'
 'kk4380' 'bt7623' 'dw8568' 'ac5011' 'hi2049' 'cp2112' 'cd3688' 'dw8568'
 'kg3382' 'pv1762' 'el1328' 'cm3960' 'at7424' 'ew2423' 'sm1163' 'ls4961'
 'bs8262' 'hb3161' 'as6854' 'bf6339' 'rk1735' 'mm9845' 'bd4789' 'vh7241'
 'av7272' 'dk4857' 'el1970' 'wm7209' 'kz5227' 'aw6820' 'wm6121' 'rb8432'
 'lw2413' 'ms1308' 'wd1262' 'ma7167' 'jn8938' 'pb3504' 'ks8354' 'cs2939'
 'jm9051' 'sm1218' 'ep1873' 'sh6609' 'tg5136' 'hf9126' 'ls2770' 'tf1475'
 'mg5160' 'db3643' 'cf7034' 'dc7815' 'gp8468' 'cn7550' 'jm5268' 'lt4524'
 'cs2939' 'bp8921' 'om9270' 'jc2837' 'dm4941' 'bp8921' 'kp6971' 'jf1541'
 'ta9460' 'sr2627' 'ms9839' 'pg7683' 'dd4202' 'kg3382' 'ph2994' 'gb2395'
 'co5241' 'cb9629' 'aa2072' 'gz6629' 'lf8323' 'pm6312' 'lh2710' 'fb6421'
 'jr3390' 'as7799' 'es3247' 'ed1553' 'gb6225' 'mh3189' 'el1970' 'ul9851'
 'jn8938' 'br7915' 'ac1921' 'pg9166' 'rl4424' 'hg8958' 'vh2782' 'dm4770'
 'ha7223' 'tn6541' 'rh8265' 'sr6318' 'vp8113' 'pw1751' 'ed9006' 'df6463'
 'kv8594' 'fb6421' 'cc7468' 'lf8323' 'db7191' 'vr6922']"
Case Practice Workshop - Session 2 - Hosted by Analytics Consulting Group,"03/19/2021, 5:30PM EDT - 7:00PM EDT",Student Organization Event,https://www.eventbrite.com/e/case-practice-workshop-ii-tickets-146530200775,"03/19/2021, 5:30PM EDT","03/16/2021, 5:00PM EDT","03/19/2021, 6:00PM EDT","Join us to learn valuable tips and tricks on how to structure a case question.About this EventWelcome to ACG case practice workshop!During this event, we will be sharing tips and tricks on how to structure a case question. Students will have the opportunity to learn the basics of case interviews and will be given the opportunity to ask questions regarding the interview process.",,"['jf1541' 'yw2349' 'ah5912' 'bf5294' 'kd4383' 'vm4184' 'cd4161' 'tm5521'
 'dj5391' 'di3815' 'mc1399' 'gm6772' 'ss1349' 'ph6551' 'bf5294' 'jw7283'
 'br5516' 'lh1320' 'dg5235' 'mr1611' 'pe8184' 'sc2579' 'sr6318' 'ch5716'
 'mm8449' 'dc1253' 'db7191' 'ew6449' 'pe1121' 'hm8492' 'ag4866' 'rf8504'
 'jm4007' 'to9401' 'gc9192' 'rf2250' 'rj5787' 'vh6932' 'jb7330' 'tv4803'
 'ab5741' 'ds7162' 'lk5655' 'lh2710' 'lc9120' 'mr1044' 'ls2770' 'jk7067'
 'pw7347' 'qg7260' 'tc1922' 'ct7496' 'fc1329' 'ft9400' 'gb9448' 'cm3550'
 'ng7082' 'wv3801' 'rc5362' 'gw6389' 'lf8323' 'sp9153' 'dp1899' 'eh8355'
 'cp2112' 'cm3367' 'fs9376' 'le6070' 'yg2691' 'ul9851' 'fr9097' 'pj2704'
 'am4375' 'tw3253' 'cf4687' 'af4730' 'fd4197' 'tp8436' 'pb3354' 'cd3680'
 'pv4933' 'lw7546' 'cb9723' 'cd4067' 'ac7306']"
APAN Networking Event - Session 2,"03/18/2021, 3:00PM EDT - 4:00PM EDT",Other,Zoom link to be entered,"03/18/2021, 3:00PM EDT","01/20/2021, 1:00PM EST","03/18/2021, 4:00PM EDT","In this final interactive Networking session, APAN students and Alumni will have the opportunity to network with professionals from Facebook, Amazon and Ripple! Bring questions and dress for success!Â ",,"['ig2465' 'pm5617' 'bp1358' 'mt7579' 'lt4306' 'pd4505' 'kj6311' 'cr7982'
 'ca2504' 'ol1649' 'bf1482' 'ng3472' 'jd4296' 'ch9182' 'la4794' 'gl4274'
 'hf4514' 'ws8795' 'ro1106' 'zm8614' 'nh1923' 'lm1004' 'rt6370' 'cm4080'
 'sg7722' 'bf5294' 'md5427' 'sc2579' 'ad3150' 'jp3970' 'jb2306' 'rm8963'
 'jh4892' 'me7386' 'lm7331' 'eg7248' 'db2113' 'sr5164' 'ld6139' 'pc9978'
 'wg4422' 'cs4092' 'di3815' 'td3127' 'db7191' 'wm8243' 'tm8816' 'mg2430'
 'mh8543' 'as5682' 'ib3297' 'cf3847' 'bf6339' 'rg9279' 'bw7350' 'kh4056'
 'td3781' 'fb6278' 'dc9465' 'mt7579' 'jc1829' 'el6452' 'cm3550' 'ks4901'
 'mb4925' 'lh1320' 'gf2397' 'pl1300' 'we1101']"
Enterprise Risk Management Employer Open House,"03/18/2021, 11:00AM EDT - 12:00PM EDT",Employer Open House (Non-Student Event),Virtual via Zoom,"03/18/2021, 11:00AM EDT","03/18/2021, 10:59AM EDT","03/18/2021, 11:00AM EDT","Learn why you should connect with Columbia Universityâs cutting-edge Enterprise Risk Management (ERM) Program in the School of Professional Studies.The Career Design Lab (CDL) and the Enterprise Risk Management staff welcomes you to learn aboutColumbia Universityâs ERM program, and how we prepare our students in the classroom and beyond, for careersuccess.Agenda11:00 a.m. - 11:10 a.m. - Welcome Remarks11:10 a.m. - 11:20 a.m. â Enterprise RiskManagement Academic Program Introduction11:20 a.m. - 11:45 a.m. - Learn about theCareer Design Lab and Employer Engagement Program11:45 a.m. â 12:00 p.m. â Q & AThis is an information session and the only students present will be part of the presentation.Â ",,"['jp3970' 'bh3005' 'aw7552' 'ww6116' 'ss1349' 'ec6124' 'cb7345' 'cd5508'
 'rf9701' 'cm9937' 'pd6560' 'as7799' 'hf9126' 'wd1262' 'mk5958' 'od2175'
 'cf3122' 'nd6162' 'ag8426' 'jf1541' 'rk1735' 'dh4497' 'am2714' 'tw3942'
 'di3815' 'km8550' 'ag8426' 'cs5288' 'tl8781' 'hg3770' 'cr4093' 'ck5767'
 'cm7140' 'bb6137' 'wm8243' 'as2261' 'ds8894' 'mr1044' 'ag5106' 'ph6551'
 'pj7325' 'tn6541' 'pc1990' 'dj2409' 'cd7662' 'cd3688' 'ai8841' 'bi6212'
 'gu4591' 'sr2627' 'ld9461' 'mg4811' 'tr1422' 'ne8282' 'sm4112' 'wc8347'
 'dv9880' 'gr3336' 'mp8235' 'kb9300' 'sr2627' 'am8272' 'ht6224' 'kf4345'
 'cc8952' 'jl7308' 'ga7908' 'he2771' 'eg7248' 'cs3440' 'ia1498' 'pv6010'
 'as2261' 'kl8101' 'tm9922' 'et8328' 'br7915' 'nd3756' 'hk5571' 'mv6768'
 'ah1459' 'ss2421' 'lh3392' 'hi2049' 'ao4881' 'kh4216' 'ab6895' 'jd1474'
 'af4730' 'lk5655' 'cc7380' 'gb6225' 'fb8086' 'fm9802' 'xw1668' 'mc7986'
 'db6981' 'ac2336' 'tc8955' 'js2134' 'mt4955' 'dw8568' 'rm8963' 'mb1024'
 'ia1498' 'mp1077' 'cf3122' 'tp8436' 'kk4380' 'pg7683' 'og2535' 'cf4687'
 'wt5528' 'vh6932' 'hh1952' 'sd5478' 'pd4505' 'dw8568' 'dc1253' 'pg3684'
 'wc5369']"
Information Session with BD,"03/16/2021, 1:00PM EDT - 2:00PM EDT",Employer Information Session,Virtual,"03/16/2021, 1:00PM EDT","03/03/2021, 8:30AM EST","03/16/2021, 2:00PM EDT","BD is a global medical technology company that isÂ advancing the world of healthÂ by improving medical discovery, diagnostics and the delivery of care. BD leads in patient and healthcare worker safety and the technologies that enable medical research and clinical laboratories. The company provides innovative solutions that help advance medical research and genomics, enhance the diagnosis of infectious disease and cancer, improve medication management, promote infection prevention, equip surgical and interventional procedures and support the management of diabetes.Come learn about BD as an organization and its work battling Covid-19. Hear directly aboutÂ its summer internship opportunities in risk and data analytics from Rochelle Fuhrmann,Â VP Audit and Enterprise Risk Management and Siddharth Goyal,Â Senior Director, Enterprise Risk Analytics and IT Audit.Â Â ",Becton Dickinson & Co. (BD),"['rb8248' 'ec6149' 'bm9901' 'cp6091' 'kw1833' 'rt6370' 'mr1611' 'md1350'
 'ad3150' 'sd6289' 'mc1399' 'rf9701' 'mp1077' 'og2535' 'cb2689' 'hr1670'
 'mr1044' 'kb8618' 'wn1628' 'cr7982' 'pg7683' 'rf7418' 'am2033' 'ec6169'
 'br5516' 'km1655' 'gb4123' 'km8550' 'cj7971' 'as6736' 'hr6325' 'pp3044'
 'as6854' 'al9719' 'lk4353' 'mc2167' 'bs3141' 'jb4441' 'sm4112' 'cj7971'
 'lk8463' 'ft9400' 'af2937' 'gl4274' 'dh4497' 'pc1990' 'lf8323' 'sh8103'
 'dt2731' 'dg4930' 'am8493' 'md1350' 'ns6537' 'hr1670' 'jd2263' 'cb9723'
 'ab2791' 'sw3803' 'bf6339' 'ft9400' 'ls3466' 'ht2225' 'am2033' 'js6273'
 'nt7416' 'cf2053' 'vm4184' 'pm6312' 'pj7325' 'cf2053' 'am2193' 'by5205'
 'ga1442' 'sl7343' 'hg3770' 'cl4062' 'nl6747' 'ai2657' 'yb1853' 'gb8369'
 'ab8491' 'cm3550' 'sd2788' 'ia1498' 'nh1923' 'sm1163' 'dn8349' 'cb2689'
 'gd9560' 'lr2337' 'gd2987' 'td2838' 'sp9153' 'ar7443' 'ce9146' 'bb6137'
 'aw8991' 'aw7552' 'gc9116' 'mh2321' 'cp2112' 'er8171' 'fd7751' 'as7799'
 'wp1130' 'ly5500' 'cd3072' 'mr9089' 'mt8122' 'rp4416' 'ct1087' 'sb3699'
 'am3935' 'tg3370' 'ml7573' 'ac9121' 'jb7330' 'cg9050' 'ss1349' 'ac2336'
 'lf4078' 'kf3140' 'mm8449' 'mt4955' 'ch5716' 'gj8315' 'am8272' 'vj3465'
 'bs4446' 'jb5076' 'jd8700' 'lt4306' 'cd3680' 'aw3988' 'at7424' 'td7910'
 'lg4395' 'ab9320' 'sw3803' 'cm7140' 'dl4841' 'od3159' 'rs4218' 'cn7550'
 'yt2688' 'di3815' 'ce6477' 'vh6932']"
HBCU Fellowship Fireside Chat - Taking Charge and Taking Control at the Leadership Table,"03/16/2021, 12:00PM EDT - 1:00PM EDT",Professional Development Workshop & Program,Virtual,"03/16/2021, 12:00PM EDT","01/10/2021, 2:30PM EST","03/16/2021, 12:00PM EDT","****Please Note: This event is for HBCU Fellows ONLY. Non-HBCU Fellows will be deregistered****Â Dear HBCU Fellows:On Tuesday, March 16, 2021 from 12 Noon - 1pm, we will be hosting a Fireside Chat entitled, Taking Charge and Taking Control at the Leadership Table with Azhelle Wade, President of The Toy Coach and Founder, CEO & Creative Director of Costumize Me.During this session, Azhelle will share practical strategies on taking charge and taking control at the leadership table. She will discuss the importance of understanding your brand, showcasing your talents and understanding how it fits into the big picture to pave your path to a âseat at the tableâ.Â  Once âat the tableâ, it is crucial for leaders to raise the level of discussion when it comes to inclusivity. Through this talk, you will gain a deeper understanding of how you can take advantage of the small interactions around you to be a part of the wider restructuring of an inclusive workforce.Key takeaways include:Â·Â Â Â Â Â Â  Learn how to Identify your BrandÂ·Â Â Â Â Â Â  Understand the power you have through your interactionsÂ·Â Â Â Â Â Â  Identify small steps you can take, leader or not, to take part in the restructuring of an inclusive workforce",The Toy Coach,"['dd4202' 'tc1922' 'gs1094' 'sw2577' 'dg5235' 'ah8215' 'lt4524' 'jw1927'
 'el1970' 'yw2349' 'pe8184' 'sm4112' 'cb5346' 'cb8371' 'wd3720' 'kg1021'
 'mn6859' 'or6597' 'sl7343' 'qf2235' 'mc1399' 'tw3942' 'jd3659' 'ah1800'
 'bj3248' 'rb5061' 'aa1593' 'lt9141' 'ub7676' 'fd5383' 'hv6027' 'cg9010'
 'fr9097' 'av7303' 'mc7986' 'ce6477' 'ek2278' 'gh6054' 'dg4930' 'rb8248'
 'ai2657' 'dl4841' 'cf7034' 'cb6823' 'cs5288' 'mg2430' 'kf8610' 'kp2750'
 'km5484' 'oh4362' 'bl1780' 'lm1004' 'aw4113' 'cj6703' 'rb4044' 'hb5603'
 'tg2701' 'yt2688' 'ck3690' 'gc9391' 'la4794' 'ch5333' 'vj3465' 'el5169'
 'ig2465' 'yg5553' 'gf2397' 'kw1833' 'ks9198' 'cm9937' 'al6588' 'ph6551'
 'jd1474' 'tg2701' 'mt7579' 'gs1094' 'jm3528' 'gr2940' 'tc8955' 'js9832'
 'fb1456' 'go2676' 'fb6278' 'cb8395' 'tf5214' 'qf2235' 'zm8614' 'aw7552'
 'yb1853' 'ah8215' 'ks6400' 'bt4180' 'wd9985' 'cr9043' 'ap3447' 'kg3382'
 'gm6772' 'fb9529' 'hi2049' 'kd4383' 'kr5035' 'if4314' 'as8601' 'al1945'
 'la4794' 'jw7283' 'av7272' 'kw1833' 'rt5639' 'hk7656' 'wl9210' 'gz6629'
 'gh2002']"
Alumni Small Group Coaching,"03/15/2021, 9:00AM EDT - 10:30AM EDT",Alumni Small Group Career Development Sessions,Virtual,"03/15/2021, 9:00AM EDT","03/03/2021, 8:15AM EST","03/11/2021, 9:00AM EST","These action oriented groups are small job search groups of up to 10 job seekers who meet once a month to think, plan, and act strategically during their job search. Small groups are facilitated by one of Career Design Lab Coaches. Groups are for alumni who are ready to make real progress in executing their job search.Participant Requirements:Â·Â Â Â Â Â Â  You must be a graduateÂ of Columbia School of Processional StudiesÂ·Â Â Â Â Â Â  Must have career direction in a specific industry or function (these groups are not ideal for those who are unsure of what they want to do or who are assessing a change)Â The Value of the GroupThese groups are not support groups. These small groups are designed for alumni who are fully engaged in their job search and will inject strategy, focus, and accountability during their career transition activities.Â Group meetings will be followed with action items.Committed participants will have a greater level of success.Job search groups provide the same high quality coaching, in a small group setting, with an opportunity to expand yourTime:Â 9:00 to 10:30 p.m.Â ESTDates:Â March 15, April 27, May 27Group Size:Â 10Â participantsÂ (spots will be filled on a first come, first serve basis)",,"['fg8413' 'pb2745' 'jq7226' 'mk5978' 'sr2627' 'hg8958' 'rb9189' 'jd1474'
 'em5618' 'lk3272' 'js9100' 'bh3503' 'pg2386' 'dy6775' 'ea4743' 'cb5346'
 'sd5478' 'tk2172' 'xh9067' 'no8876' 'tl5793' 'ab8233' 'dj5391' 'ab1587'
 'tc7475' 'mm8449' 'cm4080' 'rs8037' 'bw9085' 'aw3988' 'jp3970' 'tb7316'
 'vb9879' 'ct7496' 'ag5106' 'av7272' 'mh2321' 'cd4067' 'kg1021' 'jd5455'
 'gc3217' 'mh2321' 'iv6827' 'jb7330' 'gj1080' 'sv6182' 'cg8799' 'rb4786'
 'hg3770' 'am8493' 'ea4743' 'vs2866' 'fb1456' 'md1488' 'sp2374' 'lm4960'
 'cw9406' 'cr9771' 'wr1832' 'ab8028' 'cl4062' 'je2896' 'jn8938' 'am4999'
 'mb4925' 'to9401' 'dl7353' 'mg9306' 'oh9585' 'vk8598' 'ch9182' 'vs2866'
 'cm5198' 'rl4633' 'dd4202' 'mg4811' 'am6110' 'ds5727' 'am4646' 'av8603'
 'om9270' 'mk5958']"
How To Create A Portfolio For Tech Jobs,"03/12/2021, 10:00AM EST - 12:00PM EST",Other,Virtual,"03/12/2021, 10:00AM EST","01/10/2021, 2:30PM EST","03/12/2021, 11:30AM EST","Establishing a digital portfolio to stand out and stay competitive is key in this global competitive marketplace . Many tech industry professionals have a website or blog, with a portfolio page. Others simply have an online business card, with a resume.If you really want to stand out, take an interactive approach in telling your data story. Come join Professor Day YiÂ who will work with you to develop a presence on Shiny App!Make sure to have R and RStudio loaded to get the most out of this program.Â ",,"['rl7970' 'tc2087' 'el1328' 'tc8127' 'sm1163' 'mg7827' 'kk4380' 'cs5288'
 'eh8783' 'mh8543' 'we1101' 'aq2975' 'pb2765' 'ne4057' 'kl8101' 'if4314'
 'ai8841' 'at7424' 'et8328' 'cd3072' 'mr6373' 'aa2072' 'kv8594' 'pv4933'
 'bs6078' 'am8272' 'cr9771' 'tw3942' 'cd3680' 'ak6805' 'ue8997' 'gb2395'
 'hk7656' 'jp3970' 'bm9901' 'hr1670' 've8236' 'td2838' 'ar5324' 'pm5617'
 'td3781' 'cn8465' 'cn7550' 'gd9560' 'al9719' 'gb9669' 'hh1952' 'hk7656'
 'ep1873' 'jw6434' 'pc1990' 'bm9901' 'rb5061' 'ad5095' 'wb7859' 'el5021'
 'sl7343' 'dc4254' 'wt5528' 'lw7546' 'er3716' 'cd3551' 'lk6589' 'bs7868'
 'hg3770' 'tc8955' 'mb1024' 'vr6922' 'bb1965' 'mm7421' 'bl9576' 'lc3408'
 'ck5767' 'js6273' 'ls4961' 'dg5482' 'od3159' 'gp8468' 'nb7661' 'ac9121'
 'jh4892' 'dp1899' 'af2937' 'eb2909' 'xw1668' 'jp3970' 'sp2374' 'df8875'
 'bs4446' 'tm7389']"
